Gene_ID	1021_a	1021_b	1021_c
SMc02661	70.84268634	57.39363415	61.2920819
SMc02571	212.528059	193.0513149	190.0054539
SMc02660	322.9108493	304.3601811	200.2208009
SMc02565	390.458527	444.3658644	462.7552183
SMc02561	360.803449	385.2330292	451.5183366
SMc02559	540.3814214	600.024357	600.6624026
SMc02558	1159.843051	1031.346214	1308.585948
SMc02557	1349.306049	1438.319256	1327.995108
SMc02556	1336.126014	1455.711266	1285.09065
SMc02555	242.183137	273.924163	240.0606541
SMc02554	301.493293	353.9274106	310.5465483
SMc02553	360.803449	393.0594338	422.9153651
SMc02552	362.4509534	303.4905806	353.4510056
SMc02551	1219.153207	1331.358392	1193.152528
SMc02550	301.493293	320.8825909	304.4173401
SMc02549	240.5356327	240.8793433	211.4576825
SMc02548	168.045442	202.6169205	197.1561968
SMc02547	462.9487177	520.0211094	453.561406
SMc02546	1247.16078	1214.831923	1104.279009
SMc02545	1064.287799	1003.518997	914.2735549
SMc02544	637.584177	666.9835968	602.705472
SMc02543	2845.239984	3259.262739	3001.268943
SMc00550	578.274021	573.0667409	567.9732922
SMc00551	484.366274	552.1963285	558.7794799
SMc00552	568.388995	700.898017	615.985423
SMc00553	845.169723	856.5565096	1048.0946
SMc00554	1851.794871	1962.688368	2120.706034
SMc00555	766.089515	836.5556977	945.9411306
SMc00556	1118.655442	1203.527116	1276.918373
SMc00557	542.0289257	544.3699239	586.3609168
SMc00558	179.5779723	161.7456962	130.7564414
SMc00559	49.42513	70.43764191	66.39975539
SMc00560	79.080208	83.48164967	96.02426164
SMc00561	888.0048357	1088.739848	1014.383955
SMc00562	125.2103293	119.1352709	106.2396086
SMc00563	230.6506067	194.7905159	258.4482787
SMc00564	133.447851	180.8769076	156.2948088
SMc00565	2947.385252	3471.445265	2875.620176
SMc00566	517.3163607	614.8075658	526.0903696
SMc00567	1489.343917	1938.339553	1680.424579
SMc00568	3789.259967	4251.476929	4109.634091
SMc00569	149.9228943	173.050503	151.1871353
SMc00570	1090.647869	1121.784667	1119.602029
SMc00571	1515.703987	1785.289862	1866.343894
SMc00572	1789.189706	1816.595481	1595.637199
SMc00573	4585.00456	4518.444288	4475.343513
SMc00574	2960.565287	3285.350755	3185.145189
SMc00575	914.364905	1061.782232	993.9532614
SMc00576	433.2936397	565.2403363	546.5210636
SMc00577	439.883657	482.6282871	540.3918554
SMc00578	37.89259967	32.17521914	33.71064504
SMc00579	400.343553	455.6706711	459.6906142
SMc00580	611.2241077	773.9444605	828.4646403
SMc00581	1507.466465	1594.847349	1615.046358
SMc00582	6385.726796	6341.126973	5508.115093
SMc00583	1120.302947	1192.222309	995.9963308
SMc00584	1311.413449	1207.005518	965.3502898
SMc00585	2471.2565	2561.843124	2290.280793
SMc00586	563.446482	561.7619342	560.8225493
SMc05005	14.827539	20.0008119	11.23688168
SMc00588	341.033397	350.4490085	326.8911034
SMc00589	716.664385	610.4595632	590.4470556
SMc00590	757.8519934	861.7741127	945.9411306
SMc00591	1023.100191	864.3829143	1731.501314
SMc00592	644.1741944	698.2892154	747.7633991
SMc00593	799.0396017	842.6429013	719.1604276
SMc00594	739.7294457	780.0316641	763.0864196
SMc00595	3008.342913	3318.395574	3184.123654
SMc00596	87.31772967	73.91604398	76.61510237
SMc00597	42.83511267	53.04563156	43.92599202
SMc00598	36.24509534	37.39282225	42.90445733
SMc00599	373.9834837	378.2762251	343.2356586
SMc00600	410.228579	450.453068	369.7955608
SMc00601	787.5070714	868.7309168	690.557456
SMc00602	795.744593	844.3821024	789.6463217
SMc00603	408.5810747	442.6266633	473.9921
SMc00604	7277.026641	8152.50485	6235.447798
SMc00605	1416.853727	1253.963946	1049.116135
SMc00606	604.6340904	607.8507616	505.6596756
SMc00607	976.9700697	983.5181851	846.8522649
SMc00608	260.3056847	340.0138023	319.7403606
SMc00609	6194.616294	6248.079717	5905.492091
SMc00610	369.0409707	372.1890214	329.9557075
SMc00611	112.0302947	113.9176678	116.4549556
SMc00612	34.597591	19.13121138	28.60297155
SMc00613	98.85026	111.3088662	106.2396086
SMc00614	469.538735	606.9811611	544.4779942
SMc00615	782.5645584	909.6021412	1098.149801
SMc00616	425.056118	453.9314701	438.2383856
SMc00617	635.9366727	656.5483906	656.846811
SMc00618	7443.424578	8463.821835	8674.872658
SMc00619	3163.20832	3447.966051	3733.709322
SMc00620	2515.739117	4049.729609	3990.114531
SMc00621	82.37521667	94.78645639	92.95965754
SMc00622	973.675061	1059.17343	1007.233212
SMc01754	125.2103293	150.4408895	165.4886211
SMc01755	678.7717854	642.6347823	546.5210636
SMc01756	2733.209689	3181.868293	2650.882542
SMc01757	1242.218267	1058.30383	845.8307302
SMc01758	214.1755633	204.3561216	278.8789726
NP_385302.1	214.1755633	204.3561216	278.8789726
SMc01759	135.0953553	99.13445898	174.6824334
SMc01760	2243.900902	2239.221332	1793.81493
SMc01761	3642.632081	3951.464751	4135.172459
SMc01762	411.8760834	362.6234157	401.4631364
SMc01763	807.2771234	769.5964579	738.5695868
SMc01764	1504.171456	1214.831923	1425.040904
SMc01765	2252.138424	1492.234488	2171.782768
SMc01766	7515.914769	5108.033439	8774.983058
SMc01767	168.045442	162.6152967	182.854711
SMc01768	922.6024267	956.5605691	687.4928519
SMc01769	2331.218632	2337.486191	1924.571372
SMc01770	4461.441735	4438.441041	4604.056885
SMc01771	1008.272652	1013.084603	1125.731237
SMc01772	1637.619307	1509.626498	1661.015419
SMc01773	1474.516378	1083.522245	1253.423075
SMc01774	285.0182497	243.4881449	265.5990215
SMc01775	289.9607627	284.3593692	260.4913481
SMc01776	278.4282323	269.5761604	239.0391194
SMc01777	296.55078	342.6226038	337.1064504
SMc01778	405.286066	527.847514	478.0782388
SMc01779	342.6809014	416.5386478	363.6663526
SMc01780	1978.652704	2205.306912	1599.723337
SMc01781	767.7370194	736.5516382	656.846811
SMc01782	446.4736744	484.3674882	482.1643776
SMc01783	458.0062047	539.1523208	552.6502718
SMc01784	2922.672687	3090.560239	3187.188259
SMc01785	1822.139793	1897.468329	2105.383013
SMc01786	1685.396933	1559.193728	1205.410944
SMc01787	859.997262	868.7309168	961.2641511
SMc01788	769.3845237	542.6307228	526.0903696
SMc02182	62.60516467	75.65524501	44.94752672
SMc01789	11.53253033	8.696005174	19.40915927
SMc01902	102.1452687	113.9176678	100.1104004
SMc01790	179.5779723	180.0073071	146.0794619
SMc01791	149.9228943	168.7025004	104.1965392
SMc01792	418.4661007	469.5842794	357.5371444
SMc01793	634.2891684	711.3332232	618.0284924
SMc01794	738.0819414	738.2908392	614.9638883
SMc01795	980.2650784	1130.480673	944.9195959
SMc01796	286.665754	284.3593692	263.5559521
SMc01797	207.585546	210.4433252	204.3069397
SMc01798	168.045442	200.008119	193.070058
SMc01799	26.36006933	27.82721656	19.40915927
SMc01800	2990.220365	2196.610907	3262.781826
SMc01801	1173.023085	1295.704771	1321.8659
SMc01802	319.6158407	332.1873976	316.6757565
SMc01803	5276.95638	6288.081341	5807.42476
SMc01804	5608.104751	5601.966533	5240.473002
