gene	Plus_NusA_1	Plus_NusA_2	Plus_NusA_3	Plus_NusA_4	Plus_NusA_5	Plus_NusA_6
BSU23320	305	232	310	221	299	215
BSU23328	225	63	103	158	205	145
BSU23340	10	17	22	6	7	4
BSU23350	8	2	8	1	5	3
BSU23360	3718	2404	2263	3400	3773	3422
BSU23370	954	590	650	825	841	625
BSU23380	8097	5989	6351	6455	6729	4862
BSU23390	391	302	312	320	369	355
BSU23401	41	31	61	38	47	52
BSU23402	14	22	32	14	15	16
BSU23410	44	41	50	41	39	45
BSU23420	3	3	11	6	5	10
BSU23430	2	4	9	5	3	5
BSU23440	7	8	14	20	6	13
BSU23450	238	197	225	186	217	173
BSU23460	168	138	134	122	143	117
BSU23470	117	92	103	104	105	89
BSU23480	42	54	64	34	35	53
BSU23490	4365	3673	3642	3533	3582	2932
BSU23500	4603	3413	3598	3489	3198	2732
BSU23510	1633	1090	1231	1365	1115	1074
BSU23519	196	195	209	291	248	269
BSU23520	1371	1117	1063	1276	1219	1190
BSU23530	12	23	29	17	20	17
BSU23540	8	9	4	8	7	11
BSU23550	1326	1113	957	1172	1092	950
BSU23560	698	414	660	513	752	605
BSU23570	979	608	736	870	965	780
BSU23580	629	444	530	518	520	402
BSU23590	439	296	302	353	287	319
BSU23600	1646	1104	1240	1306	1447	1049
BSU23610	1005	738	819	766	838	664
BSU23620	936	640	662	878	860	668
BSU23630	162	139	163	180	194	244
BSU23640	392	301	356	313	302	351
BSU23650	1282	1195	1068	1065	1168	1067
BSU23660	1077	709	733	945	940	728
BSU23670	1961	1305	1471	1591	1542	1100
BSU23680	546	342	362	451	388	290
BSU23690	569	380	490	517	541	404
BSU23700	9	15	9	9	6	5
BSU23710	11	24	43	29	14	29
BSU23720	120	89	82	141	147	115
BSU23730	794	700	678	608	604	574
BSU23740	372	229	228	285	321	280
BSU23750	855	615	666	689	715	511
BSU23760	1066	780	897	848	881	688
BSU23770	709	551	686	617	612	511
BSU23780	449	384	387	384	337	274
BSU23790	422	306	244	290	250	187
BSU23800	737	526	470	585	444	375
BSU23810	558	465	542	546	529	487
BSU23820	715	601	651	687	682	570
BSU23830	223	154	96	197	135	150
BSU23840	554	427	462	522	371	389
BSU23850	11502	7532	7507	10449	11683	9464
BSU23860	22807	15633	15655	21717	22856	19642
BSU23870	691	621	859	686	532	671
BSU23880	881	561	814	855	1011	936
BSU23890	2679	1622	2167	2169	2613	2114
BSU23900	216	149	155	183	156	125
BSU23910	3809	2647	2897	3111	2894	2249
BSU23920	3634	2893	3095	3194	2500	2201
BSU23930	6	15	19	18	9	15
BSU23940	173	94	129	158	172	203
BSU23950	1175	752	847	864	1018	795
BSU23960	3343	2585	2879	2631	2981	2493
BSU23970	1558	1073	1255	1105	1236	1052
BSU23980	4517	3320	3688	3221	3577	3749
BSU23990	1767	1503	1483	1961	1765	1495
BSU24000	21	21	54	23	52	146
BSU24010	1227	768	923	1053	1100	1189
BSU24020	311	206	246	379	365	354
BSU24030	2859	1987	2085	2506	2272	2269
BSU24040	1784	1268	1468	1583	1259	1191
BSU24050	1418	1083	1186	1225	1132	977
BSU24060	1723	1303	1625	1555	1406	1197
BSU24070	1117	956	1048	1159	1051	955
BSU24080	1480	1158	1211	1604	1222	1022
BSU24090	785	630	656	984	717	622
BSU24100	976	819	734	1656	1195	1129
BSU24110	1113	967	639	968	848	1082
BSU24120	254	223	210	265	210	190
BSU24130	77	66	56	71	74	72
BSU24140	14	20	29	21	9	29
BSU24150	6	11	22	13	8	17
BSU24160	6	11	14	12	5	15
BSU24170	7	16	28	21	11	23
BSU24180	336	233	197	357	251	197
BSU24190	44	35	61	48	32	35
BSU24200	32	27	31	14	22	13
BSU24210	763	537	629	613	598	513
BSU24220	3023	1945	2051	2400	2216	1971
BSU24230	36	26	21	28	15	26
BSU24240	1964	1492	1641	1547	1639	1271
BSU24250	447	297	326	310	284	248
BSU24260	3699	2918	2953	3003	2752	2383
BSU24270	6973	5594	6136	5178	4903	3781
BSU24280	951	684	673	563	578	492
BSU24290	223	149	194	114	114	99
BSU24300	1273	846	1030	763	700	677
BSU24310	6577	4582	5301	5131	4904	4125
BSU24320	2810	2049	2159	2182	1879	1675
BSU24330	4536	3085	3528	3521	4050	3742
BSU24340	13849	10050	11908	10927	10186	7923
BSU24350	3723	2189	2664	2829	2598	2144
BSU24360	25	17	20	18	24	33
BSU24370	13	16	26	15	10	8
BSU24380	8	9	13	11	9	18
BSU24390	15	31	41	53	21	34
BSU24400	3	5	14	6	5	5
BSU24410	3	5	2	2	3	5
BSU24420	13	10	10	14	4	8
BSU24430	22	60	91	50	27	54
BSU24440	6	3	12	4	6	6
BSU24450	6439	4781	4445	5356	5670	5516
BSU24460	8980	6615	6458	7263	6652	5790
BSU24470	2036	1544	1698	1748	1710	1471
BSU24480	30	12	16	16	16	28
BSU24490	2070	1367	1383	1793	1840	1619
BSU24500	1122	767	951	1135	1077	922
BSU24510	190	115	127	100	110	119
BSU24520	2719	1916	2825	1625	2444	2178
BSU24530	1510	1031	1114	1168	1338	1039
BSU24540	1399	823	919	1237	1150	977
BSU24550	4479	3027	2875	3927	3805	3395
BSU24560	3242	2320	2793	2745	2625	2169
BSU24570	2438	1680	2020	1993	1913	1460
BSU_misc_RNA_37	711	645	626	735	467	640
BSU_misc_RNA_38	896	750	638	1193	604	937
BSU24580	28	37	35	47	34	30
BSU24590	170	93	111	174	184	188
BSU24600	218	117	116	180	188	174
BSU24610	1930	1375	1270	1802	2065	2046
BSU24620	442	220	314	307	379	294
BSU24630	64	61	49	37	56	37
BSU24640	56	41	64	49	52	41
BSU24650	74	14	22	43	73	48
BSU24660	226	93	106	125	236	157
BSU24670	396	228	170	182	471	265
BSU24680	434	184	185	200	536	230
BSU24690	433	219	238	234	416	242
BSU24700	515	172	202	212	490	266
BSU24710	366	139	201	165	432	190
BSU24720	1155	471	672	483	1342	684
BSU24730	1922	877	1077	972	2142	1097
BSU24740	33	36	34	34	33	60
BSU24750	8	26	24	20	27	59
BSU24760	35	24	49	39	37	147
BSU_tRNA_73	1	2	2	4	12	29
BSU24770	25	24	6	34	171	588
BSU24780	859	547	769	952	1246	1295
BSU24790	1395	1136	900	1510	1376	1389
BSU24800	976	667	738	1122	1403	1906
BSU24810	846	456	605	762	900	777
BSU24820	1755	1057	1186	1423	1425	1308
BSU24830	1168	753	899	687	733	598
BSU24840	10320	5406	7981	6972	7802	5967
BSU24850	872	635	899	616	703	539
BSU24860	127	99	144	108	111	89
BSU24870	725	589	642	639	503	478
BSU24880	156	96	103	211	241	260
BSU24890	684	428	462	486	569	481
BSU24900	10720	4830	7192	15542	20578	29477
BSU24910	249	165	231	194	168	151
BSU24920	77	75	82	65	63	63
BSU24930	1327	571	713	896	1458	1220
BSU24940	2027	1052	1002	1555	2191	1862
BSU24950	54	11	36	30	39	32
BSU24960	12	14	18	21	11	12
BSU24970	20	20	33	19	22	25
BSU24980	63	42	52	99	76	80
BSU24990	39	15	33	18	32	29
BSU25000	5155	2865	3683	3247	3908	3187
BSU25010	25	43	42	31	17	34
BSU25020	26539	15194	11607	27848	28857	29500
BSU25030	1063	624	675	878	1040	799
BSU25040	1823	858	989	1143	1827	1443
BSU25050	21881	12813	16853	24959	25684	28504
BSU25060	40	12	16	35	20	22
BSU25070	4210	3102	3129	3097	2916	2319
BSU25080	61	35	32	54	51	37
BSU25090	1546	882	1002	1228	1264	1312
BSU25100	1435	833	837	1185	1447	1375
BSU25110	1372	751	1155	883	1350	1121
BSU25120	95	14	43	61	96	64
BSU25130	3844	2392	2849	2601	2878	2526
BSU25140	6203	4509	5632	3992	3967	4028
BSU25150	20	23	22	20	13	26
BSU25160	2159	1555	1716	1462	1520	1189
BSU25170	2227	1569	1818	1687	1938	1452
BSU25180	988	623	728	767	773	510
BSU25190	380	237	345	389	413	351
BSU25200	11038	7105	8023	8351	9557	8137
BSU25210	8453	5452	6747	5757	6567	4936
BSU25220	401	482	476	393	0	365
BSU25230	1717	702	998	1106	1317	1121
BSU25240	1899	1353	1632	1406	1550	1396
BSU25250	1466	896	1035	1064	1074	882
BSU25260	4790	2981	3606	4147	4388	3791
BSU25270	1765	1153	1244	1544	1510	1204
BSU_misc_RNA_39	3045	2666	2569	3102	1681	2259
BSU25280	3829	2586	3051	2628	3281	2455
BSU25289	786	668	629	589	702	508
BSU25290	4840	3237	3679	3599	4119	2783
BSU25300	1860	1344	1490	1759	1768	1453
BSU25310	440	386	495	352	354	323
BSU25320	1145	778	854	794	795	660
BSU25330	3763	2393	2756	2601	3024	2427
BSU25340	3505	2382	2728	2796	2848	2422
BSU25350	183	94	127	123	132	105
BSU25360	43	26	45	38	27	19
BSU25370	4308	2537	2927	3343	2969	2451
BSU25380	7134	4414	5669	5052	4929	3707
BSU25390	8415	5930	7740	5776	5838	4637
BSU25400	55561	38899	41303	48305	59059	49799
BSU25410	24068	16160	15638	19468	28012	23177
BSU25420	158	188	274	175	127	214
BSU25430	6664	4421	4917	4739	5894	4449
BSU25440	2446	1894	1995	1457	1522	1220
BSU25450	3171	2386	2651	2249	2249	1892
BSU25460	3895	2563	2825	2716	2451	2140
BSU25470	20626	14765	15386	17516	21749	17205
BSU25480	6703	4566	4063	5376	7203	6473
BSU25490	3471	2290	2365	3440	6094	5076
BSU25500	895	529	695	591	810	601
BSU25510	8334	6441	7024	5831	6322	4655
BSU25520	15	23	26	33	26	12
BSU25530	79	48	59	46	54	54
BSU25540	69	41	61	84	56	56
BSU25550	28616	16476	12412	28590	44652	53674
BSU25560	2310	1246	1204	1807	2958	3146
BSU25569	1074	796	999	1594	1402	2962
BSU25570	1501	914	958	871	1240	960
BSU25580	556	391	377	394	541	417
BSU25590	220	115	115	107	225	114
BSU25600	253	146	120	140	262	160
BSU25610	3988	2663	3030	3094	3642	2793
BSU25620	1953	1179	1300	1101	1515	1155
BSU25630	2081	1688	2086	1449	1666	1457
BSU25640	1732	1109	1320	1214	1358	1066
BSU25650	1035	540	736	561	752	630
BSU25660	2705	1673	2196	1841	2014	1612
BSU25670	2387	1549	2155	1425	1751	1264
BSU25680	800	616	836	421	511	346
BSU25690	277	133	137	181	252	192
BSU25700	944	543	637	582	633	522
BSU25710	59	45	42	46	31	42
BSU25720	125	52	62	100	93	99
BSU25730	105	72	86	78	64	57
BSU25740	2122	1435	1492	1727	2137	1524
BSU25750	271	182	158	180	183	144
BSU25770	241	175	239	226	258	243
BSU25780	88	48	92	95	119	76
BSU25790	117	60	117	102	121	118
BSU25800	29	24	32	21	50	36
BSU25810	32	10	26	24	38	51
BSU25820	14	5	8	10	15	12
BSU25830	274	100	165	390	462	614
BSU25840	998	616	972	1631	1399	2030
BSU25850	33	8	25	22	35	29
BSU25860	2646	1328	1753	1930	2408	2032
BSU25870	1064	385	531	720	1070	884
BSU25880	266	115	154	161	391	277
BSU25890	1393	1928	3305	1911	1503	2438
BSU25900	17	18	32	21	16	34
BSU25910	7	6	7	7	10	10
BSU25920	25	29	41	19	24	35
BSU25930	3	2	3	1	2	2
BSU25940	1	3	4	3	4	7
BSU25950	25	16	43	23	18	33
BSU25960	3	6	9	2	4	11
BSU25970	24	17	29	17	22	32
BSU25980	21	21	24	11	7	21
BSU25990	2	4	5	4	2	5
BSU26000	3	2	8	8	4	9
BSU26010	11	11	16	15	14	19
BSU26020	2	9	21	9	7	10
BSU26030	770	2031	3609	2244	1111	2914
BSU26050	927	928	1064	1187	1105	2227
BSU26060	112	37	34	51	44	58
BSU26075	65	29	36	25	25	51
BSU26089	5	11	16	10	6	8
BSU26090	11	23	20	15	14	19
BSU26100	26	51	41	27	31	22
BSU26110	34	35	32	39	44	58
BSU26120	129	94	84	80	171	147
BSU26130	50	28	43	45	61	53
BSU26140	39	20	24	11	15	26
BSU26150	23	35	28	25	32	37
BSU26160	190	68	101	183	312	244
BSU26170	59	46	56	33	28	39
BSU26180	42	27	49	44	26	42
BSU26190	102	60	109	99	97	99
BSU26200	162	95	191	100	120	126
BSU26210	235	50	164	145	292	180
BSU26220	2	8	16	13	4	12
BSU26230	5717	2173	2782	4218	7563	5698
BSU26240	217	129	111	158	268	228
BSU26250	31	21	20	27	31	31
BSU26259	4	2	2	4	8	8
BSU26260	22	23	44	12	15	40
BSU26270	17	33	64	44	28	66
BSU26280	4	16	18	15	11	15
BSU26290	14	20	45	18	18	30
BSU26300	2	2	5	20	8	19
BSU26310	1	3	4	3	5	3
BSU26320	2	5	6	6	6	7
BSU26330	0	1	3	1	2	1
BSU26340	1	5	5	3	1	4
BSU26350	178	87	156	230	238	253
BSU26360	1	4	3	1	3	2
BSU26370	9	17	31	20	15	21
BSU26380	23	7	16	17	27	25
BSU26400	14	7	11	17	9	9
BSU26410	39	34	28	17	53	32
BSU26420	185	94	174	168	165	125
BSU26430	75	53	64	100	65	53
BSU26440	258	196	209	241	185	184
BSU26450	151	79	131	166	169	151
BSU26470	366	159	207	217	313	296
BSU26480	78	32	25	64	138	86
BSU26490	28	25	41	24	14	32
BSU26500	9	2	9	8	5	8
BSU26510	36	44	46	38	27	44
BSU26530	6	9	19	16	8	22
BSU26540	2	9	10	7	5	15
BSU26550	150	105	112	119	97	146
BSU26560	359	221	303	362	320	294
BSU26570	19	7	13	15	18	20
BSU26580	64	26	49	58	56	61
BSU26590	58	44	62	48	73	73
BSU26600	34	21	30	27	43	30
BSU26610	506	250	401	369	665	559
BSU26619	9	1	3	4	3	6
BSU26620	31	27	30	25	25	35
BSU26630	197	153	161	175	234	179
BSU26640	60	39	54	50	73	68
BSU26650	50	14	40	44	59	67
BSU26660	15	10	11	12	21	22
BSU26670	204	131	127	205	225	189
BSU26680	107	68	96	134	123	132
BSU26690	371	301	376	293	356	246
BSU26700	108	63	114	71	75	86
BSU26710	173	85	161	132	160	133
BSU26720	104	49	64	96	107	84
BSU26730	26	4	5	18	8	10
BSU26740	67	62	64	63	63	91
BSU26760	312	120	202	334	454	403
BSU26770	94	29	49	64	85	54
BSU26780	455	198	209	364	435	413
BSU26790	318	152	225	282	430	339
BSU26800	637	389	428	617	646	592
BSU26810	194	133	197	147	271	215
BSU26820	3921	2251	2238	3641	3700	3172
BSU26830	33	23	46	12	21	35
BSU26840	54	34	49	46	85	54
BSU26850	60	34	27	47	43	43
BSU26860	375	180	238	301	355	298
BSU26870	173	85	131	150	183	183
BSU26880	188	211	213	236	180	325
BSU26890	997	581	781	960	895	752
BSU26900	361	283	273	466	474	482
BSU26910	146	116	115	124	112	106
BSU26920	183	104	153	155	148	130
BSU26930	98	64	87	64	95	74
BSU26940	81	47	54	68	89	98
BSU26950	10	13	13	8	5	8
BSU26960	27	15	30	29	23	30
BSU26970	33	37	50	53	36	42
BSU26980	4	2	3	12	7	4
BSU26990	15	7	18	21	9	20
BSU27000	87	31	51	63	66	83
BSU27010	152	106	99	134	109	120
BSU27020	1678	1263	1137	1642	1690	1805
BSU27030	2222	1345	1349	1039	820	889
